epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.479,0.95869,3.0841,1.28013,0.40797,0.27109,0.33279,0.25349,0.89336,2.92576,1.21042,0.000252961,0.000252961,0.000252961
2,595.514,1.02562,2.13884,1.29839,0.49585,0.64346,0.50214,0.37031,0.91792,2.18626,1.22685,0.00049921,0.00049921,0.00049921
3,872.911,0.95794,1.88694,1.2538,0.44245,0.70728,0.61572,0.46286,0.92631,2.1503,1.29126,0.000735308,0.000735308,0.000735308
4,1178.09,0.94859,1.70191,1.23402,0.54072,0.66838,0.636,0.48216,0.96392,1.92172,1.30886,0.000723321,0.000723321,0.000723321
5,1455.14,0.93978,1.64427,1.21891,0.57275,0.66829,0.67322,0.52109,0.89315,1.70783,1.21033,0.000708095,0.000708095,0.000708095
6,1729.37,0.90554,1.49952,1.19033,0.60419,0.79938,0.7165,0.53151,0.95496,1.50516,1.25039,0.000692869,0.000692869,0.000692869
7,2010.13,0.91976,1.4497,1.21992,0.71436,0.69467,0.73922,0.54766,0.92712,1.63217,1.25497,0.000677643,0.000677643,0.000677643
8,2292.87,0.91383,1.41453,1.18577,0.74308,0.7155,0.78584,0.60286,0.8853,1.46302,1.19675,0.000662417,0.000662417,0.000662417
9,2585.18,0.88135,1.31805,1.16491,0.79753,0.76112,0.79943,0.58618,0.91492,1.41728,1.23367,0.00064719,0.00064719,0.00064719
10,2882.68,0.86113,1.24424,1.15717,0.84556,0.7754,0.849,0.65539,0.86744,1.30784,1.19663,0.000631964,0.000631964,0.000631964
11,3169.94,0.84594,1.19436,1.16502,0.74441,0.7815,0.80685,0.62167,0.87158,1.226,1.18316,0.000616738,0.000616738,0.000616738
12,3450.63,0.84047,1.14755,1.16871,0.82037,0.84827,0.87797,0.67529,0.87343,1.06122,1.17984,0.000601512,0.000601512,0.000601512
13,3732.6,0.8216,1.06725,1.13349,0.77589,0.8156,0.8333,0.64147,0.858,1.1884,1.19064,0.000586286,0.000586286,0.000586286
14,4012.25,0.78634,1.01232,1.12255,0.83797,0.82834,0.84946,0.65852,0.87545,1.13571,1.19643,0.000571059,0.000571059,0.000571059
15,4290.47,0.80675,1.05406,1.13696,0.81521,0.83973,0.84785,0.65848,0.83879,1.11836,1.17595,0.000555833,0.000555833,0.000555833
16,4568.43,0.80425,0.98461,1.13026,0.86514,0.86008,0.89526,0.69536,0.85944,0.93145,1.19738,0.000540607,0.000540607,0.000540607
17,4843.43,0.76193,0.94222,1.09859,0.87001,0.86975,0.88638,0.69883,0.81994,0.9534,1.17951,0.000525381,0.000525381,0.000525381
18,5117.9,0.77495,0.90811,1.11602,0.83816,0.86333,0.88508,0.6609,0.91699,0.93472,1.21003,0.000510155,0.000510155,0.000510155
